date,nav,change_pct
2022-02-07,1.1202,-0.09
2022-02-08,1.0981,-1.97
2022-02-09,1.107,0.81
2022-02-10,1.099,-0.72
2022-02-11,1.0767,-2.03
2022-02-14,1.0685,-0.76
2022-02-15,1.0906,2.07
2022-02-16,1.0856,-0.46
2022-02-17,1.0911,0.51
2022-02-18,1.092,0.08
2022-02-21,1.0864,-0.51
2022-02-22,1.0763,-0.93
2022-02-23,1.1008,2.28
2022-02-24,1.0946,-0.56
2022-02-25,1.1035,0.81
2022-02-28,1.1169,1.21
2022-03-01,1.122,0.46
2022-03-02,1.1155,-0.58
2022-03-03,1.1013,-1.27
2022-03-04,1.0906,-0.97
2022-03-07,1.0722,-1.69
2022-03-08,1.0464,-2.41
2022-03-09,1.044,-0.23
2022-03-10,1.0707,2.56
2022-03-11,1.0563,-1.34
2022-03-14,1.035,-2.02
2022-03-15,1.0132,-2.11
2022-03-16,1.0589,4.51
2022-03-17,1.0656,0.63
2022-03-18,1.047,-1.75
2022-03-21,1.0582,1.07
2022-03-22,1.0387,-1.84
2022-03-23,1.0449,0.6
2022-03-24,1.0332,-1.12
2022-03-25,1.01,-2.25
2022-03-28,0.9946,-1.52
2022-03-29,1.0023,0.77
2022-03-30,1.0219,1.96
2022-03-31,1.003,-1.85
2022-04-01,1.0071,0.41
2022-04-06,0.9904,-1.66
2022-04-07,0.9762,-1.43
2022-04-08,0.976,-0.02
2022-04-11,0.9377,-3.92
2022-04-12,0.9366,-0.12
2022-04-13,0.9194,-1.84
2022-04-14,0.9236,0.46
2022-04-15,0.9151,-0.92
2022-04-18,0.9031,-1.31
2022-04-19,0.8992,-0.43
2022-04-20,0.879,-2.25
2022-04-21,0.8616,-1.98
2022-04-22,0.8682,0.77
2022-04-25,0.8343,-3.9
2022-04-26,0.8372,0.35
2022-04-27,0.8565,2.31
2022-04-28,0.8649,0.98
2022-04-29,0.8791,1.64
2022-05-05,0.8823,0.36
2022-05-06,0.8623,-2.27
2022-05-09,0.8575,-0.56
2022-05-10,0.8612,0.43
2022-05-11,0.8658,0.53
2022-05-12,0.8651,-0.08
2022-05-13,0.8697,0.53
2022-05-16,0.8658,-0.45
2022-05-17,0.8725,0.77
2022-05-18,0.8676,-0.56
2022-05-19,0.8701,0.29
2022-05-20,0.8807,1.22
2022-05-23,0.8748,-0.67
2022-05-24,0.8579,-1.93
2022-05-25,0.8613,0.4
2022-05-26,0.8629,0.19
2022-05-27,0.8661,0.37
2022-05-30,0.8695,0.39
2022-05-31,0.8783,1.01
2022-06-01,0.8782,-0.01
2022-06-02,0.8853,0.81
2022-06-06,0.9004,1.71
2022-06-07,0.8954,-0.56
2022-06-08,0.8972,0.2
2022-06-09,0.8876,-1.07
2022-06-10,0.9043,1.88
2022-06-13,0.9027,-0.18
2022-06-14,0.9039,0.13
2022-06-15,0.906,0.23
2022-06-16,0.9112,0.57
2022-06-17,0.9224,1.23
2022-06-20,0.9209,-0.16
2022-06-21,0.91,-1.18
2022-06-22,0.8997,-1.13
2022-06-23,0.922,2.48
2022-06-24,0.9234,0.15
2022-06-27,0.9286,0.56
2022-06-28,0.9322,0.39
2022-06-29,0.9091,-2.48
2022-06-30,0.9215,1.36
2022-07-01,0.915,-0.71
2022-07-04,0.9266,1.27
2022-07-05,0.9142,-1.34
2022-07-06,0.9099,-0.47
2022-07-07,0.917,0.78
2022-07-08,0.9185,0.16
2022-07-11,0.9128,-0.62
2022-07-12,0.8946,-1.99
2022-07-13,0.8957,0.12
2022-07-14,0.9198,2.69
2022-07-15,0.9148,-0.54
2022-07-18,0.9215,0.73
2022-07-19,0.9204,-0.12
2022-07-20,0.9335,1.42
2022-07-21,0.9297,-0.41
2022-07-22,0.9237,-0.65
2022-07-25,0.9137,-1.08
2022-07-26,0.9202,0.71
2022-07-27,0.9293,0.99
2022-07-28,0.9335,0.45
2022-07-29,0.9273,-0.66
2022-08-01,0.9313,0.43
2022-08-02,0.9228,-0.91
2022-08-03,0.9216,-0.13
2022-08-04,0.9211,-0.05
2022-08-05,0.9446,2.55
2022-08-08,0.9526,0.85
2022-08-09,0.9621,1.0
2022-08-10,0.9664,0.45
2022-08-11,0.9623,-0.42
2022-08-12,0.946,-1.69
2022-08-15,0.9527,0.71
2022-08-16,0.9539,0.13
2022-08-17,0.9521,-0.19
2022-08-18,0.9564,0.45
2022-08-19,0.9393,-1.79
2022-08-22,0.9494,1.08
2022-08-23,0.9466,-0.29
2022-08-24,0.9171,-3.12
2022-08-25,0.9217,0.5
2022-08-26,0.9146,-0.77
2022-08-29,0.9186,0.44
2022-08-30,0.9138,-0.52
2022-08-31,0.8928,-2.3
2022-09-01,0.8875,-0.59
2022-09-02,0.893,0.62
2022-09-05,0.8962,0.36
2022-09-06,0.9122,1.79
2022-09-07,0.9292,1.86
2022-09-08,0.9317,0.27
2022-09-09,0.9329,0.13
2022-09-13,0.9367,0.41
2022-09-14,0.9325,-0.45
2022-09-15,0.9119,-2.21
2022-09-16,0.9051,-0.75
2022-09-19,0.8972,-0.87
2022-09-20,0.8973,0.01
2022-09-21,0.893,-0.48
2022-09-22,0.9035,1.18
2022-09-23,0.8866,-1.87
2022-09-26,0.879,-0.86
2022-09-27,0.8937,1.67
2022-09-28,0.8702,-2.63
2022-09-29,0.8767,0.75
2022-09-30,0.8619,-1.69
2022-10-10,0.8421,-2.3
2022-10-11,0.8468,0.56
2022-10-12,0.8783,3.72
2022-10-13,0.8914,1.49
2022-10-14,0.9207,3.29
2022-10-17,0.9317,1.19
2022-10-18,0.9341,0.26
2022-10-19,0.9307,-0.36
2022-10-20,0.9291,-0.17
2022-10-21,0.9472,1.95
2022-10-24,0.962,1.56
2022-10-25,0.9516,-1.08
2022-10-26,0.9733,2.28
2022-10-27,0.9608,-1.28
2022-10-28,0.9458,-1.56
2022-10-31,0.9636,1.88
2022-11-01,0.9651,0.16
2022-11-02,0.9598,-0.55
2022-11-03,0.9643,0.47
2022-11-04,0.9739,1.0
2022-11-07,0.9611,-1.31
2022-11-08,0.9598,-0.14
2022-11-09,0.9566,-0.33
2022-11-10,0.9465,-1.06
